"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1216",1637,7925,302,67,"BPS  Riparian",132978,"EVT  Developed",17852
"1217",1637,7926,1525,339,"BPS  Riparian",132978,"EVT  Developed",16062
"1218",1637,7927,847,188,"BPS  Riparian",132978,"EVT  Developed",9282
"1219",1637,7928,83,18,"BPS  Riparian",132978,"EVT  Developed",646
"1220",1637,7929,661,147,"BPS  Riparian",132978,"EVT  Developed",9711
"1221",1637,7970,257,57,"BPS  Riparian",132978,"EVT  Agricultural",114076
"1222",1637,7971,1,0,"BPS  Riparian",132978,"EVT  Agricultural",820
"1223",1637,7972,1,0,"BPS  Riparian",132978,"EVT  Agricultural",602
"1224",1637,7973,140,31,"BPS  Riparian",132978,"EVT  Agricultural",56434
"1225",1637,7974,412,92,"BPS  Riparian",132978,"EVT  Agricultural",647975
"1226",1637,7975,539,120,"BPS  Riparian",132978,"EVT  Agricultural",330931
"1227",1637,7976,1905,424,"BPS  Riparian",132978,"EVT  Agricultural",187903
"1228",1637,7977,511,114,"BPS  Riparian",132978,"EVT  Agricultural",215713
"1229",1637,7978,45,10,"BPS  Riparian",132978,"EVT  Agricultural",56033
"1230",1637,7979,4,1,"BPS  Riparian",132978,"EVT  Agricultural",91
"1231",1637,9055,6338,1410,"BPS  Riparian",132978,"EVT  Riparian",12735
"1232",1637,9056,70627,15707,"BPS  Riparian",132978,"EVT  Riparian",104586
"1233",1637,9057,109,24,"BPS  Riparian",132978,"EVT  Riparian",238
"1234",1637,9088,5,1,"BPS  Riparian",132978,"EVT  Conifer",135
"1235",1637,9089,3634,808,"BPS  Riparian",132978,"EVT  Conifer",61687
"1236",1637,9112,21816,4852,"BPS  Riparian",132978,"EVT  Conifer",539567
"1237",1637,9114,798,177,"BPS  Riparian",132978,"EVT  Riparian",1188
"1238",1637,9117,11850,2635,"BPS  Riparian",132978,"EVT  Riparian",81556
"1239",1637,9118,19344,4302,"BPS  Riparian",132978,"EVT  Riparian",31825
"1240",1637,9120,15745,3502,"BPS  Riparian",132978,"EVT  Riparian",45378
"1241",1637,9177,105,23,"BPS  Riparian",132978,"EVT  Riparian",2269
"1242",1637,9178,387,86,"BPS  Riparian",132978,"EVT  Riparian",80534
"1243",1637,9179,35,8,"BPS  Riparian",132978,"EVT  Riparian",8526
"1244",1637,9180,110,24,"BPS  Riparian",132978,"EVT  Riparian",1662
"1245",1637,9183,59,13,"BPS  Riparian",132978,"EVT  Riparian",2476
"1246",1637,9202,1166,259,"BPS  Riparian",132978,"EVT  Riparian",6630
"1247",1637,9203,382,85,"BPS  Riparian",132978,"EVT  Riparian",1470
"1248",1637,9312,6855,1525,"BPS  Riparian",132978,"EVT  Conifer",444827
"1249",1637,9314,45,10,"BPS  Riparian",132978,"EVT  Riparian",5583
"1250",1637,9315,94,21,"BPS  Riparian",132978,"EVT  Conifer-Hardwood",123883
"1251",1637,9317,744,165,"BPS  Riparian",132978,"EVT  Exotic Tree-Shrub",22360
"1252",1637,9318,28,6,"BPS  Riparian",132978,"EVT  Riparian",2090
"1253",1637,9601,75,17,"BPS  Riparian",132978,"EVT  Grassland",2050
"1254",1637,9617,693,154,"BPS  Riparian",132978,"EVT  Riparian",2912
"1255",1637,9620,8880,1975,"BPS  Riparian",132978,"EVT  Riparian",26536
"1256",1637,9677,1,0,"BPS  Riparian",132978,"EVT  Riparian",7
"1257",1637,9682,1,0,"BPS  Riparian",132978,"EVT  Riparian",15
"1258",1637,9683,205,46,"BPS  Riparian",132978,"EVT  Riparian",3138
"1259",1637,9817,5514,1226,"BPS  Riparian",132978,"EVT  Exotic Herbaceous",230309
"1260",1638,7238,246,55,"BPS  Riparian",20029,"EVT  Hardwood",649927
"1261",1638,7239,155,34,"BPS  Riparian",20029,"EVT  Conifer-Hardwood",276742
"1262",1638,7240,91,20,"BPS  Riparian",20029,"EVT  Hardwood",33752
"1263",1638,7241,134,30,"BPS  Riparian",20029,"EVT  Conifer-Hardwood",86858
"1264",1638,7242,5,1,"BPS  Riparian",20029,"EVT  Hardwood",8282
"1265",1638,7243,2,0,"BPS  Riparian",20029,"EVT  Conifer-Hardwood",2505
"1266",1638,7290,169,38,"BPS  Riparian",20029,"EVT  Grassland",451
"1267",1638,7295,14,3,"BPS  Riparian",20029,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",9251
"1268",1638,7296,453,101,"BPS  Riparian",20029,"EVT  Developed-Low Intensity",116930
"1269",1638,7297,124,28,"BPS  Riparian",20029,"EVT  Developed-Medium Intensity",46889
"1270",1638,7298,39,9,"BPS  Riparian",20029,"EVT  Developed-High Intensity",20824
"1271",1638,7299,445,99,"BPS  Riparian",20029,"EVT  Developed-Roads",444910
"1272",1638,7301,3127,695,"BPS  Riparian",20029,"EVT  Hardwood",1117376
"1273",1638,7302,6581,1464,"BPS  Riparian",20029,"EVT  Hardwood",1403892
"1274",1638,7310,3819,849,"BPS  Riparian",20029,"EVT  Hardwood",49771
"1275",1638,7311,678,151,"BPS  Riparian",20029,"EVT  Hardwood",12646
"1276",1638,7313,3178,707,"BPS  Riparian",20029,"EVT  Hardwood",12533
"1277",1638,7362,2780,618,"BPS  Riparian",20029,"EVT  Conifer",418108
"1278",1638,7366,1542,343,"BPS  Riparian",20029,"EVT  Conifer",168735
"1279",1638,7395,1418,315,"BPS  Riparian",20029,"EVT  Hardwood",4408
"1280",1638,7407,115,26,"BPS  Riparian",20029,"EVT  Conifer",67551
"1281",1638,7411,16,4,"BPS  Riparian",20029,"EVT  Riparian",2312
"1282",1638,7466,689,153,"BPS  Riparian",20029,"EVT  Riparian",8303
"1283",1638,7481,27380,6089,"BPS  Riparian",20029,"EVT  Riparian",1324313
"1284",1638,7518,108,24,"BPS  Riparian",20029,"EVT  Riparian",673
"1285",1638,7905,317,70,"BPS  Riparian",20029,"EVT  Developed",90692
"1286",1638,7906,120,27,"BPS  Riparian",20029,"EVT  Developed",57168
"1287",1638,7907,127,28,"BPS  Riparian",20029,"EVT  Developed",34311
"1288",1638,7908,260,58,"BPS  Riparian",20029,"EVT  Developed",91154
"1289",1638,7909,105,23,"BPS  Riparian",20029,"EVT  Developed",31250
"1290",1638,7925,215,48,"BPS  Riparian",20029,"EVT  Developed",17852
"1291",1638,7926,133,30,"BPS  Riparian",20029,"EVT  Developed",16062
"1292",1638,7927,196,44,"BPS  Riparian",20029,"EVT  Developed",9282
"1293",1638,7928,4,1,"BPS  Riparian",20029,"EVT  Developed",646
"1294",1638,7929,47,10,"BPS  Riparian",20029,"EVT  Developed",9711
"1295",1638,7970,97,22,"BPS  Riparian",20029,"EVT  Agricultural",114076
"1296",1638,7972,4,1,"BPS  Riparian",20029,"EVT  Agricultural",602
"1297",1638,7973,97,22,"BPS  Riparian",20029,"EVT  Agricultural",56434
"1298",1638,7974,983,219,"BPS  Riparian",20029,"EVT  Agricultural",647975
"1299",1638,7975,187,42,"BPS  Riparian",20029,"EVT  Agricultural",330931
"1300",1638,7976,839,187,"BPS  Riparian",20029,"EVT  Agricultural",187903
"1301",1638,7977,120,27,"BPS  Riparian",20029,"EVT  Agricultural",215713
"1302",1638,7978,107,24,"BPS  Riparian",20029,"EVT  Agricultural",56033
"1303",1638,9055,310,69,"BPS  Riparian",20029,"EVT  Riparian",12735
"1304",1638,9056,4610,1025,"BPS  Riparian",20029,"EVT  Riparian",104586
"1305",1638,9089,7,2,"BPS  Riparian",20029,"EVT  Conifer",61687
"1306",1638,9112,573,127,"BPS  Riparian",20029,"EVT  Conifer",539567
